Satellite                     AOS           LOS     Duration  Peak AZ  Peak EL
IO-117      11/23/2024 6:14:53 PM    7:25:27 PM     01:10:34   270.7°    38.1°
RS-44       11/23/2024 7:40:19 PM    8:00:08 PM     00:19:49    90.7°    44.9°
CAS-4A      11/24/2024 1:46:02 AM    1:57:23 AM     00:11:21   333.4°    32.1°
IO-117      11/24/2024 4:07:18 AM    5:22:32 AM     01:15:14    94.5°    54.4°
AO-07       11/24/2024 5:25:39 AM    5:47:50 AM     00:22:11   102.3°    42.1°
AO-07       11/24/2024 7:18:32 AM    7:39:55 AM     00:21:23   296.0°    35.5°
RS-44       11/24/2024 7:31:14 AM    7:54:27 AM     00:23:13    84.7°    79.5°
IO-117      11/24/2024 8:03:20 AM    9:21:50 AM     01:18:30   309.9°    38.9°
CAS-4A      11/24/2024 8:20:56 AM    8:32:30 AM     00:11:34   220.0°    38.7°
AO-73       11/24/2024 2:51:28 PM    3:04:11 PM     00:12:43    80.6°    77.9°
AO-07       11/24/2024 4:18:17 PM    4:39:48 PM     00:21:31    64.7°    36.0°
IO-117      11/24/2024 4:34:10 PM    5:52:22 PM     01:18:12   259.9°    73.0°
AO-07       11/24/2024 6:10:23 PM    6:32:41 PM     00:22:18   257.9°    41.9°
RS-44       11/24/2024 8:03:35 PM    8:24:05 PM     00:20:30    94.8°    78.4°
CAS-4A      11/25/2024 1:05:40 AM    1:17:08 AM     00:11:28   330.9°    40.8°
AO-07       11/25/2024 6:18:10 AM    6:41:09 AM     00:22:59   289.3°    86.7°
IO-117      11/25/2024 6:19:11 AM    7:39:19 AM     01:20:08   293.9°    68.7°
CAS-4A      11/25/2024 7:40:36 AM    7:52:18 AM     00:11:42   216.5°    53.9°
RS-44       11/25/2024 7:55:01 AM    8:18:05 AM     00:23:04   268.5°    65.7°
ISS         11/25/2024 1:51:14 PM    2:02:21 PM     00:11:07   317.2°    47.2°
IO-117      11/25/2024 2:53:34 PM    4:13:46 PM     01:20:12    65.8°    68.4°
AO-73       11/25/2024 2:54:54 PM    3:07:38 PM     00:12:44    91.4°    86.7°
AO-07       11/25/2024 5:10:00 PM    5:33:03 PM     00:23:03    72.6°    79.3°
RS-44       11/25/2024 8:27:22 PM    8:47:48 PM     00:20:26   276.8°    61.8°
ISS        11/25/2024 10:00:22 PM   10:11:23 PM     00:11:01   226.5°    58.1°
CAS-4A     11/26/2024 12:25:12 AM   12:36:46 AM     00:11:34   328.6°    54.0°
IO-117      11/26/2024 4:40:38 AM    5:58:44 AM     01:18:06    99.0°    72.7°
AO-07       11/26/2024 5:18:38 AM    5:40:33 AM     00:21:55   100.9°    37.3°
RS-44       11/26/2024 6:25:43 AM    6:47:46 AM     00:22:03    78.7°    34.3°
CAS-4A      11/26/2024 7:00:10 AM    7:11:56 AM     00:11:46   219.6°    75.7°
AO-07       11/26/2024 7:11:20 AM    7:33:03 AM     00:21:43   295.0°    39.7°
RS-44       11/26/2024 8:19:02 AM    8:41:11 AM     00:22:09   270.3°    40.1°
ISS         11/26/2024 1:00:06 PM    1:11:16 PM     00:11:10   134.2°    73.6°
IO-117      11/26/2024 1:11:02 PM    2:29:34 PM     01:18:32    49.1°    38.8°
AO-73       11/26/2024 2:58:16 PM    3:11:02 PM     00:12:46   265.4°    84.3°
IO-117      11/26/2024 5:10:22 PM    6:25:43 PM     01:15:21   265.2°    54.7°
AO-07       11/26/2024 6:03:07 PM    6:25:41 PM     00:22:34   257.7°    47.2°
RS-44       11/26/2024 8:51:41 PM    9:11:16 PM     00:19:35   282.2°    35.3°
ISS         11/26/2024 9:09:14 PM    9:20:18 PM     00:11:04    44.6°    57.9°
CAS-4A     11/26/2024 11:44:39 PM   11:56:16 PM     00:11:37   330.9°    74.0°
IO-117      11/27/2024 3:07:35 AM    4:18:00 AM     01:10:25    89.8°    37.8°
AO-07       11/27/2024 6:11:04 AM    6:34:03 AM     00:22:59   105.8°    84.9°
CAS-4A      11/27/2024 6:19:37 AM    6:31:24 AM     00:11:47    26.7°    79.0°
RS-44       11/27/2024 6:49:08 AM    7:12:17 AM     00:23:09    81.5°    56.4°
IO-117      11/27/2024 6:56:23 AM    8:16:07 AM     01:19:44   300.4°    52.5°
ISS        11/27/2024 12:09:12 PM   12:19:58 PM     00:10:46   129.1°    30.6°
AO-73       11/27/2024 3:01:36 PM    3:14:23 PM     00:12:47   261.3°    75.9°
IO-117      11/27/2024 3:29:55 PM    4:49:41 PM     01:19:46    79.3°    87.0°
AO-07       11/27/2024 5:02:58 PM    5:25:55 PM     00:22:57    68.7°    71.5°
RS-44       11/27/2024 7:21:44 PM    7:41:49 PM     00:20:05    91.3°    52.0°
CAS-4A     11/27/2024 11:04:02 PM   11:15:38 PM     00:11:36   150.2°    80.2°
IO-117      11/28/2024 5:15:16 AM    6:34:53 AM     01:19:37   288.9°    87.9°
CAS-4A      11/28/2024 5:38:58 AM    5:50:40 AM     00:11:42    32.8°    57.6°
AO-07       11/28/2024 7:04:09 AM    7:26:09 AM     00:22:00   293.6°    44.4°
RS-44       11/28/2024 7:12:45 AM    7:36:17 AM     00:23:32    96.2°    88.9°
ISS        11/28/2024 12:54:18 PM    1:05:13 PM     00:10:55   318.7°    32.8°
IO-117      11/28/2024 1:48:40 PM    3:08:26 PM     01:19:46    59.6°    51.8°
AO-73       11/28/2024 3:04:53 PM    3:17:40 PM     00:12:47   260.7°    68.1°
IO-117      11/28/2024 5:46:48 PM    6:57:33 PM     01:10:45   269.9°    38.5°
AO-07       11/28/2024 5:55:53 PM    6:18:38 PM     00:22:45   256.4°    53.1°
RS-44       11/28/2024 7:45:09 PM    8:05:42 PM     00:20:33   136.3°    88.8°
CAS-4A     11/28/2024 10:23:20 PM   10:34:50 PM     00:11:30   140.9°    56.4°
IO-117      11/29/2024 3:39:20 AM    4:54:27 AM     01:15:07    94.1°    53.9°
CAS-4A      11/29/2024 4:58:13 AM    5:09:47 AM     00:11:34    29.2°    42.8°
AO-07       11/29/2024 6:03:58 AM    6:26:56 AM     00:22:58   106.1°    76.7°
IO-117      11/29/2024 7:35:09 AM    8:53:41 AM     01:18:32   310.5°    39.3°
RS-44       11/29/2024 7:36:37 AM    7:59:46 AM     00:23:09   268.7°    58.1°
ISS        11/29/2024 12:02:47 PM   12:13:59 PM     00:11:12   309.3°    74.0°
AO-73       11/29/2024 3:08:07 PM    3:20:54 PM     00:12:47   260.7°    61.1°
IO-117      11/29/2024 4:06:05 PM    5:24:22 PM     01:18:17   260.4°    73.6°
AO-07       11/29/2024 4:55:57 PM    5:18:46 PM     00:22:49    69.2°    64.2°
RS-44       11/29/2024 8:09:04 PM    8:29:22 PM     00:20:18   277.6°    53.5°
ISS         11/29/2024 8:11:50 PM    8:22:57 PM     00:11:07    67.2°    87.1°
CAS-4A      11/29/2024 9:42:34 PM    9:53:54 PM     00:11:20   140.8°    39.4°
CAS-4A      11/30/2024 4:17:20 AM    4:28:43 AM     00:11:23    26.8°    33.1°
IO-117      11/30/2024 5:51:06 AM    7:11:14 AM     01:20:08   293.6°    69.2°
RS-44       11/30/2024 6:07:09 AM    6:29:50 AM     00:22:41    79.6°    39.6°
AO-07       11/30/2024 6:56:58 AM    7:19:14 AM     00:22:16   293.6°    49.6°
RS-44       11/30/2024 8:00:42 AM    8:22:43 AM     00:22:01   272.4°    35.5°
ISS        11/30/2024 11:11:30 AM   11:22:31 AM     00:11:01   129.6°    45.1°
IO-117      11/30/2024 2:25:29 PM    3:45:41 PM     01:20:12    65.6°    67.9°
AO-73       11/30/2024 3:11:19 PM    3:24:04 PM     00:12:45   258.7°    55.0°
AO-07       11/30/2024 5:48:41 PM    6:11:35 PM     00:22:54   255.7°    59.6°
RS-44       11/30/2024 6:40:11 PM    6:59:24 PM     00:19:13    87.3°    34.1°
RS-44       11/30/2024 8:33:30 PM    8:52:47 PM     00:19:17   282.9°    30.7°
CAS-4A     11/30/2024 10:39:34 PM   10:50:50 PM     00:11:16   332.2°    32.3°
IO-117       12/1/2024 4:12:37 AM    5:30:40 AM     01:18:03    98.7°    72.1°
CAS-4A       12/1/2024 5:14:14 AM    5:25:40 AM     00:11:26   218.8°    39.3°
AO-07        12/1/2024 5:56:52 AM    6:19:48 AM     00:22:56   105.8°    68.9°
RS-44        12/1/2024 6:30:38 AM    6:54:12 AM     00:23:34    84.3°    64.3°
IO-117      12/1/2024 12:42:54 PM    2:01:23 PM     01:18:29    48.8°    38.4°
AO-73        12/1/2024 3:14:27 PM    3:27:11 PM     00:12:44   259.4°    49.6°
IO-117       12/1/2024 4:42:16 PM    5:57:46 PM     01:15:30   264.0°    55.2°
AO-07        12/1/2024 4:48:58 PM    5:11:37 PM     00:22:39    68.3°    57.5°
RS-44        12/1/2024 7:03:11 PM    7:23:29 PM     00:20:18    90.6°    60.2°
CAS-4A       12/1/2024 9:58:17 PM   10:09:43 PM     00:11:26   330.6°    42.0°
IO-117       12/2/2024 2:39:41 AM    3:49:55 AM     01:10:14    89.4°    37.3°
CAS-4A       12/2/2024 4:33:00 AM    4:44:35 AM     00:11:35   215.2°    56.3°
IO-117       12/2/2024 6:28:15 AM    7:48:01 AM     01:19:46   300.0°    52.9°
AO-07        12/2/2024 6:49:48 AM    7:12:16 AM     00:22:28   291.3°    55.4°
RS-44        12/2/2024 6:54:20 AM    7:18:03 AM     00:23:43   268.8°    81.8°
ISS         12/2/2024 11:04:51 AM   11:15:57 AM     00:11:06   314.7°    50.1°
IO-117       12/2/2024 3:01:51 PM    4:21:38 PM     01:19:47    77.2°    86.3°
AO-73        12/2/2024 3:17:33 PM    3:30:15 PM     00:12:42   260.9°    44.9°
AO-07        12/2/2024 5:41:31 PM    6:04:30 PM     00:22:59   256.2°    66.7°
ISS          12/2/2024 7:13:47 PM    7:24:50 PM     00:11:03   227.2°    62.8°
RS-44        12/2/2024 7:26:43 PM    7:47:20 PM     00:20:37   276.5°    80.2°
CAS-4A       12/2/2024 9:16:55 PM    9:28:27 PM     00:11:32   327.9°    57.1°
AO-73        12/3/2024 3:03:28 AM    3:16:21 AM     00:12:53    98.7°    37.4°
CAS-4A       12/3/2024 3:51:40 AM    4:03:19 AM     00:11:39   219.4°    80.9°
IO-117       12/3/2024 4:47:13 AM    6:06:49 AM     01:19:36   289.4°    88.5°
AO-07        12/3/2024 5:49:48 AM    6:12:38 AM     00:22:50   103.8°    61.5°
RS-44        12/3/2024 7:18:15 AM    7:41:24 AM     00:23:09   268.7°    51.4°
ISS         12/3/2024 10:13:12 AM   10:24:20 AM     00:11:08   129.0°    67.4°
IO-117       12/3/2024 1:20:33 PM    2:40:18 PM     01:19:45    59.2°    51.3°
AO-73        12/3/2024 3:20:36 PM    3:33:15 PM     00:12:39   262.1°    40.9°
AO-07        12/3/2024 4:42:02 PM    5:04:26 PM     00:22:24    68.4°    51.4°
IO-117       12/3/2024 5:18:43 PM    6:29:38 PM     01:10:55   270.1°    39.0°
ISS          12/3/2024 6:22:07 PM    6:33:11 PM     00:11:04    44.1°    53.1°
XW-2B        1/8/2026 11:41:18 PM  Invalid time  -10:-58:-33     0.0°     0.0°
XW-2B       12/31/1969 6:00:09 PM    6:03:06 PM     00:02:57    78.9°    74.7°
RS-44        12/3/2024 7:50:45 PM    8:10:56 PM     00:20:11   279.8°    46.4°
CAS-4A       12/3/2024 8:35:28 PM    8:47:03 PM     00:11:35   331.2°    80.2°
AO-73        12/4/2024 3:06:26 AM    3:19:23 AM     00:12:57    99.4°    40.9°
CAS-4A       12/4/2024 3:10:14 AM    3:21:52 AM     00:11:38    33.3°    72.2°
IO-117       12/4/2024 3:11:23 AM    4:26:23 AM     01:15:00    95.1°    53.3°
RS-44        12/4/2024 5:48:38 AM    6:11:50 AM     00:23:12    79.3°    45.4°
AO-07        12/4/2024 6:42:38 AM    7:05:18 AM     00:22:40   290.8°    62.0°
IO-117       12/4/2024 7:06:58 AM    8:25:33 AM     01:18:35   310.1°    39.7°
RS-44        12/4/2024 7:42:25 AM    8:04:13 AM     00:21:48   272.7°    31.4°
AO-73        12/4/2024 3:23:36 PM    3:36:12 PM     00:12:36   261.4°    37.4°
IO-117       12/4/2024 3:38:01 PM    4:56:21 PM     01:18:20   260.7°    74.2°
AO-07        12/4/2024 5:34:22 PM    5:57:25 PM     00:23:03   253.7°    74.4°
RS-44        12/4/2024 6:21:31 PM    6:41:09 PM     00:19:38    89.1°    39.6°
CAS-4A       12/4/2024 7:53:57 PM    8:05:31 PM     00:11:34   148.0°    72.1°
CAS-4A       12/5/2024 2:28:41 AM    2:40:13 AM     00:11:32    30.6°    51.5°
AO-73        12/5/2024 3:09:21 AM    3:22:23 AM     00:13:02   100.3°    44.7°
IO-117       12/5/2024 5:23:01 AM    6:43:09 AM     01:20:08   293.3°    69.8°
AO-07        12/5/2024 5:42:44 AM    6:05:26 AM     00:22:42   104.6°    54.8°
RS-44        12/5/2024 6:12:11 AM    6:36:04 AM     00:23:53    86.0°    72.9°
ISS         12/5/2024 10:06:15 AM   10:17:11 AM     00:10:56   318.5°    35.9°
IO-117       12/5/2024 1:57:24 PM    3:17:36 PM     01:20:12    65.3°    67.3°
AO-73        12/5/2024 3:26:34 PM    3:39:06 PM     00:12:32   261.4°    34.3°
AO-07        12/5/2024 4:35:06 PM    4:57:16 PM     00:22:10    66.6°    46.0°
ISS          12/5/2024 6:15:02 PM    6:25:57 PM     00:10:55   231.1°    42.7°
AO-07        12/5/2024 6:28:10 PM    6:49:41 PM     00:21:31   259.7°    32.0°
RS-44        12/5/2024 6:44:39 PM    7:05:11 PM     00:20:32    92.8°    69.6°
CAS-4A       12/5/2024 7:12:21 PM    7:23:49 PM     00:11:28   140.8°    49.2°
CAS-4A       12/6/2024 1:47:01 AM    1:58:24 AM     00:11:23    29.8°    38.0°
AO-73        12/6/2024 3:12:14 AM    3:25:18 AM     00:13:04    99.9°    48.9°
IO-117       12/6/2024 3:44:38 AM    5:02:35 AM     01:17:57   101.3°    71.5°
AO-07        12/6/2024 6:35:29 AM    6:58:18 AM     00:22:49   289.4°    69.1°
RS-44        12/6/2024 6:35:57 AM    6:59:47 AM     00:23:50   268.8°    73.0°
ISS          12/6/2024 9:14:14 AM    9:25:23 AM     00:11:09   318.7°    84.2°
IO-117      12/6/2024 12:14:45 PM    1:33:12 PM     01:18:27    48.5°    38.1°
AO-73        12/6/2024 3:29:28 PM    3:41:56 PM     00:12:28   262.6°    31.5°
IO-117       12/6/2024 4:14:12 PM    5:29:49 PM     01:15:37   264.1°    55.8°
ISS          12/6/2024 5:23:04 PM    5:34:11 PM     00:11:07    49.3°    76.3°
AO-07        12/6/2024 5:27:15 PM    5:50:19 PM     00:23:04   250.9°    82.4°
RS-44        12/6/2024 7:08:18 PM    7:28:58 PM     00:20:40   275.0°    70.2°
IO-117       12/7/2024 2:11:49 AM    3:21:49 AM     01:10:00    88.8°    36.9°
CAS-4A       12/7/2024 2:43:10 AM    2:54:19 AM     00:11:09   220.1°    32.2°
AO-73        12/7/2024 3:15:04 AM    3:28:09 AM     00:13:05    99.4°    53.5°
RS-44        12/7/2024 5:06:47 AM    5:29:10 AM     00:22:23    77.1°    32.0°
AO-07        12/7/2024 5:35:41 AM    5:58:13 AM     00:22:32   103.6°    48.7°
IO-117       12/7/2024 6:00:07 AM    7:19:55 AM     01:19:48   299.6°    53.4°
RS-44        12/7/2024 6:59:56 AM    7:23:00 AM     00:23:04   270.1°    45.5°
AO-07        12/7/2024 7:28:49 AM    7:49:46 AM     00:20:57   297.5°    31.0°
ISS          12/7/2024 8:22:28 AM    8:33:21 AM     00:10:53   130.6°    38.7°
IO-117       12/7/2024 2:33:46 PM    3:53:36 PM     01:19:50    74.9°    85.7°
AO-07        12/7/2024 4:28:11 PM    4:50:05 PM     00:21:54    64.9°    41.2°
AO-07        12/7/2024 6:20:49 PM    6:42:43 PM     00:21:54   259.6°    36.1°
CAS-4A       12/7/2024 7:26:36 PM    7:37:57 PM     00:11:21   330.8°    36.6°
RS-44        12/7/2024 7:32:27 PM    7:52:32 PM     00:20:05   281.7°    40.4°
CAS-4A       12/8/2024 2:01:06 AM    2:12:30 AM     00:11:24   217.6°    46.6°
AO-73        12/8/2024 3:17:51 AM    3:30:57 AM     00:13:06    99.0°    58.5°
IO-117       12/8/2024 4:19:11 AM    5:38:44 AM     01:19:33   294.2°    89.1°
RS-44        12/8/2024 5:30:09 AM    5:53:48 AM     00:23:39    80.7°    51.9°
AO-07        12/8/2024 6:28:21 AM    6:51:16 AM     00:22:55   285.8°    76.8°
IO-117      12/8/2024 12:52:28 PM    2:12:09 PM     01:19:41    59.1°    50.9°
IO-117       12/8/2024 4:50:37 PM    6:01:45 PM     01:11:08   270.3°    39.5°
AO-07        12/8/2024 5:20:09 PM    5:43:13 PM     00:23:04    96.2°    89.2°
RS-44        12/8/2024 6:02:50 PM    6:22:55 PM     00:20:05    90.0°    46.1°
CAS-4A       12/8/2024 6:44:24 PM    6:55:54 PM     00:11:30   329.1°    49.5°
CAS-4A       12/9/2024 1:18:57 AM    1:30:29 AM     00:11:32   218.1°    69.1°
IO-117       12/9/2024 2:43:25 AM    3:58:18 AM     01:14:53    94.8°    52.7°
AO-73        12/9/2024 3:20:34 AM    3:33:42 AM     00:13:08   101.6°    63.9°
AO-07        12/9/2024 5:28:40 AM    5:50:57 AM     00:22:17   101.8°    43.3°
RS-44        12/9/2024 5:53:46 AM    6:17:53 AM     00:24:07    81.0°    81.8°
IO-117       12/9/2024 6:38:47 AM    7:57:25 AM     01:18:38   309.6°    40.1°
AO-07        12/9/2024 7:21:37 AM    7:42:55 AM     00:21:18   295.5°    34.7°
ISS          12/9/2024 8:14:36 AM    8:25:42 AM     00:11:06   313.4°    59.9°
IO-117       12/9/2024 3:09:57 PM    4:28:21 PM     01:18:24   257.2°    74.9°
AO-07        12/9/2024 4:21:19 PM    4:42:52 PM     00:21:33    63.9°    36.8°
ISS          12/9/2024 4:23:20 PM    4:34:26 PM     00:11:06   232.6°    76.6°
CAS-4A       12/9/2024 6:02:08 PM    6:13:44 PM     00:11:36   328.3°    70.2°
AO-07        12/9/2024 6:13:31 PM    6:35:42 PM     00:22:11   259.0°    40.7°
RS-44        12/9/2024 6:26:08 PM    6:46:53 PM     00:20:45    97.3°    79.8°
CAS-4A     12/10/2024 12:36:43 AM   12:48:16 AM     00:11:33    27.6°    81.9°
AO-73       12/10/2024 3:23:15 AM    3:36:22 AM     00:13:07   102.1°    69.6°
IO-117      12/10/2024 4:54:57 AM    6:15:04 AM     01:20:07   293.1°    70.4°
RS-44       12/10/2024 6:17:36 AM    6:41:28 AM     00:23:52   268.5°    64.9°
AO-07       12/10/2024 6:21:13 AM    6:44:12 AM     00:22:59   287.9°    84.9°
