Satellite                     AOS           LOS     Duration  Peak AZ  Peak EL
IO-117       11/5/2024 4:45:54 PM    6:06:05 PM     01:20:11    67.1°    70.7°
AO-07        11/5/2024 6:21:50 PM    6:43:38 PM     00:21:48   259.7°    33.9°
ISS          11/5/2024 8:58:33 PM    9:09:37 PM     00:11:04   132.2°    46.5°
RS-44        11/5/2024 9:59:02 PM   10:20:05 PM     00:21:03    93.1°    67.9°
AO-73        11/6/2024 2:58:03 AM    3:10:43 AM     00:12:40    98.4°    31.9°
AO-07        11/6/2024 6:29:20 AM    6:52:11 AM     00:22:51   291.5°    72.4°
IO-117       11/6/2024 6:32:39 AM    7:51:01 AM     01:18:22   100.6°    75.2°
CAS-4A       11/6/2024 8:35:04 AM    8:46:59 AM     00:11:55   145.7°    62.7°
RS-44        11/6/2024 9:51:08 AM   10:12:56 AM     00:21:48   265.4°    74.8°
IO-117       11/6/2024 3:03:35 PM    4:22:17 PM     01:18:42    51.3°    40.3°
CAS-4A       11/6/2024 3:10:52 PM    3:22:42 PM     00:11:50    30.8°    47.5°
AO-73        11/6/2024 3:16:06 PM    3:28:28 PM     00:12:22   260.6°    45.3°
AO-07        11/6/2024 5:21:02 PM    5:44:12 PM     00:23:10   261.7°    86.1°
IO-117       11/6/2024 7:02:39 PM    8:17:33 PM     01:14:54   266.1°    52.5°
RS-44       11/6/2024 10:22:43 PM   10:43:50 PM     00:21:07   276.0°    73.0°
AO-73        11/7/2024 3:02:23 AM    3:15:12 AM     00:12:49    99.7°    36.3°
IO-117       11/7/2024 4:59:12 AM    6:10:21 AM     01:11:09    89.8°    39.7°
AO-07        11/7/2024 5:29:37 AM    5:51:59 AM     00:22:22   102.7°    46.2°
CAS-4A       11/7/2024 7:57:05 AM    8:08:52 AM     00:11:47   142.1°    47.3°
IO-117       11/7/2024 8:48:55 AM   10:08:31 AM     01:19:36   302.0°    50.6°
RS-44       11/7/2024 10:15:05 AM   10:36:11 AM     00:21:06   269.5°    44.4°
AO-73        11/7/2024 3:20:31 PM    3:32:47 PM     00:12:16   261.0°    39.2°
AO-07        11/7/2024 4:22:05 PM    4:43:56 PM     00:21:51    65.2°    39.3°
IO-117       11/7/2024 5:22:14 PM    6:41:50 PM     01:19:36    46.6°    89.4°
AO-07        11/7/2024 6:14:31 PM    6:36:39 PM     00:22:08   258.8°    38.3°
XW-2B        11/7/2024 7:24:27 PM    7:33:03 PM     00:08:36    75.3°    34.4°
ISS          11/7/2024 8:55:46 PM    9:06:51 PM     00:11:05   317.6°    43.9°
RS-44       11/7/2024 10:46:55 PM   11:07:21 PM     00:20:26   279.5°    42.4°
AO-73        11/8/2024 3:06:41 AM    3:19:37 AM     00:12:56   100.1°    41.5°
ISS          11/8/2024 5:05:20 AM    5:16:19 AM     00:10:59   229.4°    52.6°
